Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Moses Ruben,9/5/16,Pending investigation/No Known Charges,No known charges,
Jose Romero,9/4/16,Pending investigation/No Known Charges,No known charges,
Simon Gomez,9/4/16,Justified by District Attorney,No known charges,
Cameron Ayers,9/3/16,Pending investigation/No Known Charges,No known charges,
Donny Max Daugherty,9/3/16,Pending investigation/No Known Charges,No known charges,
Jeremiah “Jeremy” Richard Ramirez,9/3/16,Pending investigation/No Known Charges,No known charges,
Jerome Damon,9/3/16,Pending investigation/No Known Charges,No known charges,
Joseph Moreno,9/2/16,Pending investigation/No Known Charges,No known charges,
Michael Robert Musson Jr.,9/2/16,Pending investigation/No Known Charges,No known charges,
Michael Thompson Jr.,9/2/16,Pending investigation/No Known Charges,No known charges,
Randall Rodick,9/2/16,Justified by District Attorney,No known charges,
Caleb James Douglas,9/1/16,Pending investigation/No Known Charges,No known charges,
Ed Holup,9/1/16,Pending investigation/No Known Charges,No known charges,
Joshua Quintero,9/1/16,Pending investigation/No Known Charges,No known charges,
Vicente Gonzalez,9/1/16,Pending investigation/No Known Charges,No known charges,
Michael Ferguson,8/31/16,Justified by District Attorney,No known charges,
Thomas E. Sekscinski,8/31/16,Pending investigation/No Known Charges,No known charges,
Gregory Mathis,8/30/16,Pending investigation/No Known Charges,No known charges,
Justin Baker,8/30/16,Pending investigation/No Known Charges,No known charges,
Levonia Riggins,8/30/16,Pending investigation/No Known Charges,No known charges,
Lyle Patrick Blanchard,8/30/16,Pending investigation/No Known Charges,No known charges,
James Robert Richards,8/29/16,Pending investigation/No Known Charges,No known charges,
Jaqwan Julius Terry,8/29/16,Pending investigation/No Known Charges,No known charges,
Michael Peacor,8/29/16,Pending investigation/No Known Charges,No known charges,
Paula Phillips,8/29/16,Justified by County Attorney,No known charges,
Justin Kulhanek-Derks,8/28/16,Grand jury/No bill or Cleared,No known charges,
Alfred Toe,8/27/16,Pending investigation/No Known Charges,No known charges,
Angel Torres Jr.,8/27/16,Pending investigation/No Known Charges,No known charges,
Darrel Hetrick,8/27/16,Pending investigation/No Known Charges,No known charges,
Terry Salazar,8/27/16,Justified by District Attorney,No known charges,
Matthew Gibbon,8/26/16,Pending investigation/No Known Charges,No known charges,
David Coborubio,8/25/16,Pending investigation/No Known Charges,No known charges,
Donta Taylor,8/25/16,Pending investigation/No Known Charges,No known charges,
Jerry Lee Jackson,8/25/16,Justified by District Attorney,No known charges,
Michael W. Gaskill,8/25/16,Pending investigation/No Known Charges,No known charges,
Elias Portillo,8/24/16,Pending investigation/No Known Charges,No known charges,
Jeffrey Darren Hosea,8/24/16,Pending investigation/No Known Charges,No known charges,
William Charbonneau,8/24/16,Pending investigation/No Known Charges,No known charges,
Bobby Lyn Buck,8/23/16,Pending investigation/No Known Charges,No known charges,
Kelley Brandon Forte,8/22/16,Pending investigation/No Known Charges,No known charges,
Bernie Porche,8/21/16,Pending investigation/No Known Charges,No known charges,
Brandon Coles,8/21/16,"Charged with second-degree murder, charges dropped","Charged, Charges Dropped",
Juan Gabriel Torres,8/21/16,Justified by District Attorney,No known charges,
Pedro Montanez,8/20/16,Pending investigation/No Known Charges,No known charges,
Jorge Ceniceros,8/19/16,Pending investigation/No Known Charges,No known charges,
Kole B. Knight,8/19/16,Pending investigation/No Known Charges,No known charges,
Kyle Zimbelman,8/19/16,Pending investigation/No Known Charges,No known charges,
Marcelo Luna,8/19/16,Pending investigation/No Known Charges,No known charges,
Todd Browning,8/19/16,Pending investigation/No Known Charges,No known charges,
Chad Irwin,8/18/16,Pending investigation/No Known Charges,No known charges,
Daniel Kevin Harris,8/18/16,Pending investigation/No Known Charges,No known charges,
David Alan Fulton,8/18/16,Pending investigation/No Known Charges,No known charges,
David Klassen,8/18/16,Pending investigation/No Known Charges,No known charges,
Francisco Villarreal,8/18/16,Pending investigation/No Known Charges,No known charges,
Joseph Nathaniel Weber,8/18/16,Pending investigation/No Known Charges,No known charges,
Silivenusi Pacelli Namato Ravono,8/18/16,Pending investigation/No Known Charges,No known charges,
Trenton Lohman,8/18/16,Pending investigation/No Known Charges,No known charges,
Omer Ismail Ali,8/17/16,Pending investigation/No Known Charges,No known charges,
Carl Nivins,8/16/16,Pending investigation/No Known Charges,No known charges,
Colby Friday,8/16/16,Pending investigation/No Known Charges,No known charges,
John O'Handley,8/16/16,Pending investigation/No Known Charges,No known charges,
Kenney Watkins,8/16/16,Pending investigation/No Known Charges,No known charges,
Larry Eugene Kurtley Jr.,8/16/16,Pending investigation/No Known Charges,No known charges,
Marcos Antonio Gastelum,8/16/16,Pending investigation/No Known Charges,No known charges,
Michael Scott Martin,8/16/16,Pending investigation/No Known Charges,No known charges,
Danny Pirtle,8/15/16,Pending investigation/No Known Charges,No known charges,
Jovany Martinez,8/15/16,Pending investigation/No Known Charges,No known charges,
Eric Ortega Soto,8/13/16,Pending investigation/No Known Charges,No known charges,
Kendrick Brown,8/13/16,Pending investigation/No Known Charges,No known charges,
Perry Lee Heitman,8/13/16,Pending investigation/No Known Charges,No known charges,
Ruben Horacio Strand,8/13/16,Pending investigation/No Known Charges,No known charges,
Sylville Smith,8/13/16,"Charged with reckless homicide, Acquitted","Charged, Acquitted",
Dominic Fontana Rollice,8/12/16,Pending investigation/No Known Charges,No known charges,
Jesus Armando Carillo ,8/12/16,Pending investigation/No Known Charges,No known charges,
Mistie Reynolds,8/12/16,Murder/suicide,No known charges,
Jeff Martelli,8/11/16,Pending investigation/No Known Charges,No known charges,
Mark Sawaf,8/11/16,Pending investigation/No Known Charges,No known charges,
Sergio Weick,8/11/16,Justified by District Attorney,No known charges,
Tommy Seneca,8/11/16,Pending investigation/No Known Charges,No known charges,
Tony Timpa,8/10/16,"Charged, charges dismissed","Charged, Charges Dropped",
Jeffrey Allen Morris,8/9/16,Pending investigation/No Known Charges,No known charges,
Jesse James Romero,8/9/16,Other justified (Civilian board/Coroner/Medical examiner),No known charges,
Mary Knowlton,8/9/16,"Charged with manslaughter, Plead no contest, Sentenced to 10 years probation","Charged, Plead No Contest, Sentenced to 10 years probation",
Ronald Smith,8/9/16,Pending investigation/No Known Charges,No known charges,
Darnell Wicker,8/8/16,Justified by Commonwealth's Attorney,No known charges,
James Eugene Burgess,8/8/16,Pending investigation/No Known Charges,No known charges,
James Jennings Jr.,8/8/16,Pending investigation/No Known Charges,No known charges,
Juan J. Godines,8/8/16,Pending investigation/No Known Charges,No known charges,
Michael McClurg,8/8/16,Pending investigation/No Known Charges,No known charges,
"Earl ""Shaleek"" Pinckney",8/7/16,Justified by District Attorney,No known charges,
Jawari Porter,8/7/16,Justified by Prosecutor,No known charges,
David Michael Moya,8/5/16,Pending investigation/No Known Charges,No known charges,
Jamarion Rashad Robinson,8/5/16,Civil suit/Pending,No known charges,
James A. Quealy,8/5/16,Justified by District Attorney,No known charges,
Johannes M. Wood,8/5/16,Pending investigation/No Known Charges,No known charges,
Ronald Robbibaro,8/5/16,Pending investigation/No Known Charges,No known charges,
Marcus Sexton,8/4/16,Justified by Prosecutor,No known charges,
Benjamin William Heaton,8/3/16,Justified by District Attorney,No known charges,
Bradley Carey,8/3/16,Pending investigation/No Known Charges,No known charges,
E.J. Walters Jr.,8/3/16,Pending investigation/No Known Charges,No known charges,
Adam Jo Klimek,8/2/16,Pending investigation/No Known Charges,No known charges,
Demarco Newman,8/2/16,Justified by State Attorney,No known charges,
Matthew David Conrad,8/2/16,Pending investigation/No Known Charges,No known charges,
Richard Lance London,8/2/16,Pending investigation/No Known Charges,No known charges,
William Bowers,8/2/16,Pending investigation/No Known Charges,No known charges,
Bryan N. Byrd,8/1/16,Pending investigation/No Known Charges,No known charges,
Kenneth Eugene Bonanno,8/1/16,Pending investigation/No Known Charges,No known charges,
Korryn Gaines,8/1/16,Civil suit/Family awarded money,No known charges,
Manuel De La Cruz,8/1/16,Pending investigation/No Known Charges,No known charges,
Richard Gene Swihart,8/1/16,Pending investigation/No Known Charges,No known charges,
John Casey,7/31/16,Pending investigation/No Known Charges,No known charges,
Limichael Shine,7/31/16,Pending investigation/No Known Charges,No known charges,
Mario Martinez Torres,7/31/16,Justified by Prosecutor,No known charges,
Amanda Bivens,7/29/16,Pending investigation/No Known Charges,No known charges,
Melvin Faison,7/29/16,Pending investigation/No Known Charges,No known charges,
Donnell Thompson Jr.,7/28/16,Pending investigation/No Known Charges,No known charges,
Jeffrey Smith,7/28/16,Pending investigation/No Known Charges,No known charges,
Jesus Rael,7/28/16,Pending investigation/No Known Charges,No known charges,
Jorge Moreno-Aguirre,7/28/16,Pending investigation/No Known Charges,No known charges,
Omar Gonzalez,7/28/16,Pending investigation/No Known Charges,No known charges,
Paul O'Neal,7/28/16,Administrative discipline,No known charges,
Ambrose Mecklenburg,7/27/16,Pending investigation/No Known Charges,No known charges,
Dalvin Hollins,7/27/16,Pending investigation/No Known Charges,No known charges,
Devon Martes,7/27/16,Pending investigation/No Known Charges,No known charges,
Dylan Liberti,7/27/16,Pending investigation/No Known Charges,No known charges,
Michael Sean Adams,7/27/16,Pending investigation/No Known Charges,No known charges,
Saddam Trejeda-Campos,7/27/16,Pending investigation/No Known Charges,No known charges,
Humberto Martinez,7/26/16,Pending investigation/No Known Charges,No known charges,
John Heffran,7/26/16,Pending investigation/No Known Charges,No known charges,
Juan Reynaldo Duran,7/26/16,Justified by District Attorney,No known charges,
Scot A. Minard,7/26/16,Pending investigation/No Known Charges,No known charges,
Anthony Michael Edwards,7/25/16,Pending investigation/No Known Charges,No known charges,
Jeff Cornell Tyson,7/25/16,Pending investigation/No Known Charges,No known charges,
Richard Risher Jr.,7/25/16,Other justified (Civilian board/Coroner/Medical examiner),No known charges,
Alvin R. Sylversmythe,7/24/16,Justified by District Attorney,No known charges,
Robert Lee Lourenco Jr.,7/24/16,Pending investigation/No Known Charges,No known charges,
Austin Jerry Lee Howard Jr.,7/23/16,Pending investigation/No Known Charges,No known charges,
Bernard Wells III,7/23/16,Pending investigation/No Known Charges,No known charges,
Steven Alfred Longoria,7/23/16,Pending investigation/No Known Charges,No known charges,
Paul Edward Yacabitis,7/22/16,Pending investigation/No Known Charges,No known charges,
BJ Medeiros,7/21/16,Pending investigation/No Known Charges,No known charges,
Derek Love,7/21/16,Pending investigation/No Known Charges,No known charges,
James T. Stuart,7/20/16,Murder/suicide,No known charges,
Javier Garcia Gaona,7/20/16,Justified by District Attorney,No known charges,
Jerry L. Brimer,7/18/16,Pending investigation/No Known Charges,No known charges,
Gavin Eugene Long,7/17/16,Pending investigation/No Known Charges,No known charges,
Jermaine Johnson,7/17/16,Pending investigation/No Known Charges,No known charges,
Kevin Higgins,7/17/16,Justified by District Attorney,No known charges,
Michael Ray Ramsey Jr.,7/17/16,Pending investigation/No Known Charges,No known charges,
Patrick O'Rourke,7/17/16,Pending investigation/No Known Charges,No known charges,
Billy D. Smith,7/16/16,Pending investigation/No Known Charges,No known charges,
Cody Wayne Jarrett,7/16/16,Justified by District Attorney,No known charges,
Patrick Fennell,7/16/16,Pending investigation/No Known Charges,No known charges,
Bobby Rex Horne,7/15/16,Pending investigation/No Known Charges,No known charges,
Dayten Ernest Harper,7/14/16,Pending investigation/No Known Charges,No known charges,
Isaiah Soehngen,7/14/16,Pending investigation/No Known Charges,No known charges,
DeAngelo W. Webb,7/13/16,Pending investigation/No Known Charges,No known charges,
